FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,CBSA,MEMI,CSA,METDIV,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,WI,050,00,00,000,0000002,0500000US55001,55001,2,3,55,01779806,001,H1,01581060,99999,9,999,99999,1672216054,108348982,Adams,Adams County,A,20654,16692,+43.9737568,-089.7672276,06,55001,20654,19850,18734,603,198,85,10,220,804,773,107,228,29,8,368,7,1,6,7,9,0,1,2,0,0,22,9,0,0,0,8,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,9,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20654,797,19857,19282,18372,593,165,84,8,60,575,552,100,222,29,7,171,7,1,5,0,8,0,0,2,0,0,18,5,0,0,0,8,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17644,17090,16113,570,176,79,10,142,554,532,28,190,12,6,279,0,1,6,0,8,0,1,1,0,0,17,5,0,0,0,8,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17644,553,17091,16686,15843,561,158,78,8,38,405,387,28,184,12,5,143,0,1,5,0,8,0,0,1,0,0,17,5,0,0,0,8,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16692,9049,7643,1207,1110,1062,0,48,0,97,0,0,97
PLST,WI,050,00,00,000,0000003,0500000US55003,55003,2,3,55,01779806,003,H1,01581061,99999,9,999,99999,2706458787,3230728318,Ashland,Ashland County,A,16027,9407,+46.5444245,-090.6796907,06,55003,16027,15132,12791,112,2084,84,9,52,895,805,53,470,60,9,176,28,0,0,2,0,2,5,0,0,0,83,19,6,0,0,10,2,12,15,11,0,1,0,3,2,0,0,0,0,0,2,6,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,16027,383,15644,14902,12678,112,1999,82,9,22,742,686,53,447,56,8,96,22,0,0,2,0,2,0,0,0,0,52,17,0,0,0,10,2,3,10,7,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12586,12031,10387,82,1433,73,9,47,555,504,26,311,28,2,118,12,0,0,2,0,0,5,0,0,0,48,17,3,0,0,9,0,12,3,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12586,219,12367,11888,10311,82,1397,71,9,18,479,444,26,296,28,2,78,12,0,0,2,0,0,0,0,0,0,32,17,0,0,0,9,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9407,6805,2602,642,244,43,24,177,0,398,367,0,31
PLST,WI,050,00,00,000,0000004,0500000US55005,55005,2,3,55,01779806,005,H1,01581062,99999,9,999,99999,2235281410,69194516,Barron,Barron County,A,46711,23779,+45.4371917,-091.8528921,06,55005,46711,44751,42567,819,472,346,5,542,1960,1868,180,624,134,26,859,28,1,0,8,5,0,0,0,3,0,79,41,1,0,2,6,0,16,7,6,0,0,0,0,0,0,0,0,0,0,0,13,0,5,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46711,1277,45434,43908,42210,813,436,345,5,99,1526,1460,178,604,132,22,483,27,1,0,5,5,0,0,0,3,0,59,39,1,0,0,6,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,7,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36847,35603,34081,541,331,281,5,364,1244,1199,62,447,67,12,578,21,1,0,3,5,0,0,0,3,0,35,18,0,0,2,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36847,782,36065,35080,33880,535,309,281,5,70,985,956,60,431,66,11,358,21,1,0,0,5,0,0,0,3,0,25,18,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23779,19630,4149,823,510,90,0,420,0,313,69,0,244
PLST,WI,050,00,00,000,0000005,0500000US55007,55007,2,3,55,01779806,007,H1,01581063,99999,9,999,99999,3827677060,1460300913,Bayfield,Bayfield County,A,16220,13238,+46.6341992,-091.1772815,06,55007,16220,15380,13493,59,1696,36,2,94,840,806,35,464,45,11,232,1,5,0,4,1,3,5,0,0,0,22,13,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,3,0,0,0,0,1,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,16220,279,15941,15205,13445,54,1612,36,2,56,736,707,35,445,45,6,166,1,3,0,3,0,3,0,0,0,0,20,13,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,13450,12893,11561,35,1185,33,0,79,557,544,21,309,22,7,172,0,3,0,3,0,3,4,0,0,0,5,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,13450,164,13286,12796,11528,30,1151,33,0,54,490,481,21,296,22,6,130,0,1,0,2,0,3,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,13238,7432,5806,120,120,55,0,65,0,0,0,0,0
PLST,WI,050,00,00,000,0000006,0500000US55009,55009,2,3,55,01779806,009,H1,01581064,24580,1,267,99999,1372931376,221810753,Brown,Brown County,A,268740,112908,+44.4740244,-087.9961303,06,55009,268740,249347,212929,8404,7581,8518,122,11793,19393,18510,2591,4253,1207,70,9449,325,67,6,209,50,11,182,34,40,16,813,314,49,0,107,52,6,211,35,9,0,5,1,16,1,1,4,1,0,1,0,61,14,2,34,2,0,3,1,1,0,1,0,3,0,0,0,9,5,4,0,0,0,0,0,0,268740,26216,242524,232119,208440,8154,6329,8445,114,637,10405,9947,2472,3913,1159,70,1837,281,57,6,49,50,6,6,34,7,0,444,284,46,0,18,43,2,3,32,9,0,0,1,0,0,1,3,1,0,1,0,12,0,2,1,2,0,3,0,0,0,1,0,3,0,0,0,2,2,0,0,0,0,0,0,0,206130,195318,170734,5763,5285,5724,100,7712,10812,10391,828,2649,513,42,5900,141,11,2,137,12,5,94,24,22,11,382,141,15,0,38,12,6,115,25,9,0,3,1,11,1,0,4,1,0,0,0,36,12,2,16,2,0,3,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,206130,16007,190123,184574,168143,5633,4595,5687,92,424,5549,5344,795,2507,497,42,1295,126,10,2,27,12,0,6,24,1,0,196,124,15,0,6,10,2,3,22,9,0,0,1,0,0,0,3,1,0,0,0,9,0,2,1,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112908,108156,4752,7172,2711,1841,19,819,32,4461,3438,0,1023
PLST,WI,050,00,00,000,0000007,0500000US55011,55011,2,3,55,01779806,011,H1,01581065,99999,9,999,99999,1750290818,87549529,Buffalo,Buffalo County,A,13317,6506,+44.3856333,-091.7612940,06,55011,13317,12917,12651,43,41,23,12,147,400,366,42,101,28,3,175,7,0,0,4,0,0,0,3,3,0,32,14,0,0,0,3,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13317,327,12990,12690,12577,43,31,19,12,8,300,274,42,97,23,3,97,6,0,0,0,0,0,0,3,3,0,25,13,0,0,0,1,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10554,10302,10101,29,33,19,12,108,252,235,18,82,16,1,109,5,0,0,1,0,0,0,3,0,0,15,5,0,0,0,3,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10554,195,10359,10158,10069,29,24,19,12,5,201,188,18,80,15,1,67,4,0,0,0,0,0,0,3,0,0,12,4,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6506,5667,839,155,47,19,0,28,0,108,0,0,108
PLST,WI,050,00,00,000,0000008,0500000US55013,55013,2,3,55,01779806,013,H1,01581066,99999,9,999,99999,2127832847,151938079,Burnett,Burnett County,A,16526,15201,+45.8668974,-092.3757305,06,55013,16526,15686,14756,65,721,53,10,81,840,811,43,395,73,0,236,53,0,0,0,9,0,1,0,1,0,27,2,0,0,0,5,0,4,5,2,2,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16526,254,16272,15515,14658,65,697,53,10,32,757,741,43,393,64,0,180,52,0,0,0,9,0,0,0,0,0,16,0,0,0,0,0,0,0,5,2,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13642,13132,12465,52,499,47,9,60,510,492,17,238,27,0,174,31,0,0,0,4,0,1,0,0,0,18,2,0,0,0,0,0,4,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13642,154,13488,13022,12405,52,484,47,9,25,466,454,17,236,27,0,140,30,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15201,7499,7702,178,127,31,22,74,0,51,0,0,51
PLST,WI,050,00,00,000,0000009,0500000US55015,55015,2,3,55,01779806,015,H1,01581067,11540,1,118,99999,824263566,204161565,Calumet,Calumet County,A,52442,21511,+44.0784104,-088.2121322,06,55015,52442,50019,46499,444,252,1277,42,1505,2423,2328,261,588,270,5,1156,10,1,0,20,3,0,7,7,0,0,89,28,3,0,12,0,0,36,2,2,1,0,0,5,0,0,0,0,0,0,0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,52442,2857,49585,48099,46056,419,189,1269,42,124,1486,1440,247,554,264,5,344,4,1,0,11,3,0,0,7,0,0,41,24,3,0,2,0,0,3,2,2,0,0,0,5,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,39712,38378,36113,279,171,864,24,927,1334,1283,78,393,88,3,694,1,1,0,16,0,0,2,7,0,0,45,15,0,0,0,0,0,21,1,2,1,0,0,5,0,0,0,0,0,0,0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,39712,1675,38037,37217,35858,260,145,856,24,74,820,789,72,383,86,3,230,0,1,0,7,0,0,0,7,0,0,26,15,0,0,0,0,0,3,1,2,0,0,0,5,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21511,20553,958,182,146,16,0,130,0,36,0,0,36
PLST,WI,050,00,00,000,0000010,0500000US55017,55017,2,3,55,01779806,017,H1,01581068,20740,1,232,99999,2611628507,85233303,Chippewa,Chippewa County,A,66297,28688,+45.0690918,-091.2835054,06,55017,66297,63668,60865,1075,361,975,19,373,2629,2538,318,803,283,10,1060,4,4,1,16,8,0,1,0,30,0,81,30,9,5,8,1,0,10,15,0,0,1,0,1,1,0,0,0,0,0,0,8,4,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,66297,1257,65040,62880,60391,1040,323,959,14,153,2160,2093,301,785,269,10,673,4,3,1,14,8,0,0,0,25,0,64,27,8,4,8,0,0,0,15,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51536,50007,47879,928,279,636,18,267,1529,1498,106,552,95,3,701,4,4,0,11,8,0,1,0,13,0,24,10,0,1,0,1,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51536,823,50713,49436,47552,895,255,622,13,99,1277,1255,98,545,85,3,487,4,3,0,9,8,0,0,0,13,0,19,10,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28688,26287,2401,2841,2480,2012,11,457,0,361,0,0,361
PLST,WI,050,00,00,000,0000011,0500000US55019,55019,2,3,55,01779806,019,H1,01581069,99999,9,999,99999,3133102168,23238832,Clark,Clark County,A,34659,14755,+44.7393462,-090.6099532,06,55019,34659,33564,31972,119,172,108,4,1189,1095,1051,104,209,65,6,636,0,5,0,21,3,0,0,0,1,1,40,25,1,0,3,0,4,0,0,4,0,0,0,0,1,0,0,0,2,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34659,2098,32561,31968,31566,103,117,106,4,72,593,571,104,195,65,6,191,0,5,0,5,0,0,0,0,0,0,22,18,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24688,24046,23037,67,129,83,4,726,642,618,29,141,30,5,386,0,5,0,18,3,0,0,0,0,1,22,15,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24688,1214,23474,23130,22835,56,98,81,4,56,344,329,29,130,30,5,125,0,5,0,5,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14755,12768,1987,447,351,29,0,322,0,96,0,0,96
