FILEID,STUSAB,SUMLEV,GEOVAR,GEOCOMP,CHARITER,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,COUNTY,COUNTYCC,COUNTYNS,CBSA,MEMI,CSA,METDIV,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
PLST,MD,050,00,00,000,0000002,0500000US24001,24001,3,5,24,01714934,001,H1,01713506,19060,1,999,99999,1093502055,14761330,Allegany,Allegany County,A,68106,32911,+39.6123134,-078.7031037,06,24001,68106,65087,58377,5341,137,742,22,468,3019,2854,972,982,183,11,592,30,4,13,43,9,0,4,3,6,2,156,72,14,0,21,8,0,15,3,3,2,1,0,11,6,0,0,0,0,0,0,7,0,0,2,1,3,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,68106,1149,66957,64294,57953,5286,115,733,22,185,2663,2546,945,955,177,11,371,28,4,11,32,5,0,0,2,5,0,113,62,11,0,17,7,0,0,3,3,2,0,0,2,6,0,0,0,0,0,0,4,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56039,54231,48215,4923,121,603,13,356,1808,1705,355,718,111,3,438,30,4,5,24,8,0,4,2,1,2,99,40,5,0,15,6,0,15,3,3,2,1,0,5,4,0,0,0,0,0,0,4,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56039,834,55205,53625,47907,4884,105,594,13,122,1580,1508,346,709,105,3,286,28,4,5,14,5,0,0,2,1,0,71,35,5,0,11,6,0,0,3,3,2,0,0,2,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32911,27596,5315,6163,5065,4293,13,759,0,1098,747,0,351
PLST,MD,050,00,00,000,0000003,0500000US24003,24003,3,5,24,01714934,003,H1,01710958,12580,1,548,99999,1074352780,448033952,Anne Arundel,Anne Arundel County,A,588261,233130,+38.9916174,-076.5608941,06,24003,588261,538783,377634,104473,2354,25504,449,28369,49478,45554,8339,6846,7037,340,18460,1020,964,77,1526,43,6,404,206,217,69,3447,1060,448,35,520,224,8,593,170,235,5,31,8,48,18,41,0,0,1,0,2,443,105,3,276,15,14,3,12,1,1,0,0,8,0,2,3,32,27,4,0,1,0,0,2,2,588261,56796,531465,500342,367893,102555,1178,25187,411,3118,31123,28994,7739,6369,6722,337,4862,927,895,73,732,32,6,11,181,93,15,1936,898,375,31,127,186,8,27,155,50,1,28,2,6,16,24,0,0,0,0,2,177,82,3,46,15,9,1,10,0,1,0,0,5,0,2,3,16,15,1,0,0,0,0,0,0,456018,426068,305168,79204,1795,20601,349,18951,29950,27813,3545,5082,3497,210,12411,769,528,52,1084,33,5,283,158,115,41,1855,611,159,11,279,116,8,380,99,113,1,13,8,35,2,17,0,0,1,0,2,259,55,0,166,7,11,0,9,1,1,0,0,4,0,2,3,23,18,4,0,1,0,0,0,0,456018,36709,419309,400956,299148,78118,951,20397,326,2016,18353,17208,3334,4812,3382,210,3438,707,499,50,534,27,5,5,136,59,10,1027,526,141,11,74,96,8,16,89,28,1,13,2,6,0,14,0,0,0,0,2,104,47,0,24,7,8,0,9,0,1,0,0,3,0,2,3,14,13,1,0,0,0,0,0,0,233130,219971,13159,9659,7242,4938,58,2119,127,2417,364,835,1218
PLST,MD,050,00,00,000,0000004,0500000US24005,24005,3,5,24,01714934,005,H1,01695314,12580,1,548,99999,1549740654,215957832,Baltimore,Baltimore County,A,854535,350163,+39.4431666,-076.6165693,06,24005,854535,800914,452124,255793,3527,54968,304,34198,53621,49512,10456,7207,6229,226,18358,2085,1144,180,2556,132,9,451,97,320,62,3641,1554,407,60,505,168,21,398,147,175,20,45,14,60,23,30,5,0,5,0,4,412,145,14,187,8,29,0,3,11,2,9,0,4,0,0,0,52,35,12,1,4,0,0,4,4,854535,61492,793043,757343,443263,252724,1942,54701,252,4461,35700,33040,9860,6776,6069,210,5269,1945,1105,172,1149,119,7,29,92,219,19,2465,1334,368,56,181,151,19,28,132,53,9,40,12,28,22,20,5,0,3,0,4,172,133,14,5,3,8,0,3,3,1,0,0,2,0,0,0,20,11,7,1,1,0,0,3,3,669511,635625,375153,192662,2650,42424,237,22499,33886,31543,4849,5420,3259,156,12949,1529,687,116,1802,102,9,337,78,200,50,2027,925,147,24,273,83,13,244,79,91,10,29,11,43,15,29,2,0,5,0,4,269,82,12,135,3,23,0,0,6,1,5,0,2,0,0,0,43,26,12,1,4,0,0,4,4,669511,40189,629322,607333,369566,190816,1566,42236,203,2946,21989,20463,4609,5182,3189,146,3892,1457,681,112,838,91,7,24,73,143,19,1398,814,135,24,107,79,12,19,69,28,8,24,9,26,15,20,2,0,3,0,4,109,75,12,5,3,8,0,0,3,1,0,0,2,0,0,0,16,7,7,1,1,0,0,3,3,350163,329964,20199,22328,7046,1059,275,5689,23,15282,12676,0,2606
PLST,MD,050,00,00,000,0000005,0500000US24009,24009,3,5,24,01714934,009,H1,01676636,47900,1,548,47894,552158542,341580668,Calvert,Calvert County,A,92783,35663,+38.5227191,-076.5297621,06,24009,92783,85298,69935,12100,305,1581,79,1298,7485,6864,1536,1610,977,105,2176,156,98,2,145,1,3,14,29,10,2,550,151,74,4,116,32,13,56,30,35,3,3,3,16,5,4,2,0,3,0,0,65,26,0,17,0,2,4,4,2,0,10,0,0,0,0,0,6,4,1,0,1,0,0,0,0,92783,4202,88581,82918,68760,11922,207,1549,74,406,5663,5260,1475,1545,947,104,832,151,97,0,70,0,0,0,29,8,2,377,132,74,4,64,28,12,7,27,8,0,3,3,13,0,0,2,0,0,0,0,22,17,0,0,0,1,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,70925,66635,54604,9609,236,1261,47,878,4290,3975,581,1150,487,47,1451,105,49,0,74,0,0,5,19,5,2,272,84,30,4,50,12,5,42,22,8,0,0,3,9,0,0,0,0,3,0,0,38,23,0,7,0,0,0,4,0,0,4,0,0,0,0,0,5,4,1,0,0,0,0,0,0,70925,2594,68331,65125,53926,9506,170,1239,47,237,3206,2985,565,1119,465,46,570,105,48,0,41,0,0,0,19,5,2,196,74,30,4,29,12,4,7,19,8,0,0,3,6,0,0,0,0,0,0,0,21,17,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,35663,32754,2909,589,402,130,0,261,11,187,0,0,187
PLST,MD,050,00,00,000,0000006,0500000US24011,24011,3,5,24,01714934,011,H1,00595737,99999,9,999,99999,827350254,16777066,Caroline,Caroline County,A,33293,13434,+38.8715306,-075.8316620,06,24011,33293,31124,24479,4434,146,350,19,1696,2169,2043,538,459,123,5,723,22,10,3,69,8,0,61,3,19,0,113,38,15,4,5,15,2,7,5,7,0,0,0,0,0,1,14,0,0,0,0,8,3,0,0,3,0,0,0,0,2,0,0,0,0,0,0,5,2,2,1,0,0,0,0,0,33293,2820,30473,29009,24114,4368,67,345,13,102,1464,1379,512,450,118,0,201,22,10,0,50,4,0,2,2,8,0,76,32,11,3,1,15,2,0,5,3,0,0,0,0,0,1,3,0,0,0,0,6,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,25372,24156,19438,3319,105,245,16,1033,1216,1145,166,341,68,1,452,20,6,2,31,3,0,44,3,8,0,59,23,2,3,0,5,2,7,5,4,0,0,0,0,0,0,8,0,0,0,0,8,3,0,0,3,0,0,0,0,2,0,0,0,0,0,0,4,1,2,1,0,0,0,0,0,25372,1676,23696,22889,19235,3285,53,240,12,64,807,755,160,335,63,0,140,20,6,0,23,0,0,2,2,4,0,44,21,2,3,0,5,2,0,5,3,0,0,0,0,0,0,3,0,0,0,0,6,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,13434,12327,1107,576,302,45,20,230,7,274,55,0,219
PLST,MD,050,00,00,000,0000007,0500000US24013,24013,3,5,24,01714934,013,H1,01696228,12580,1,548,99999,1159355858,13112464,Carroll,Carroll County,A,172891,65793,+39.5633280,-077.0153297,06,24013,172891,162291,148621,6482,396,3775,43,2974,10600,9989,1612,2477,1576,71,3909,69,55,5,131,19,0,25,17,23,0,544,150,72,0,60,54,2,94,38,38,13,3,0,4,7,4,3,0,2,0,0,57,19,6,8,0,6,8,8,0,0,0,0,0,0,2,0,8,1,6,0,0,1,0,2,2,172891,7745,165146,157733,146701,6361,268,3766,36,601,7413,7024,1544,2396,1545,68,1251,59,55,3,59,17,0,4,14,9,0,348,127,70,0,27,50,2,15,32,6,7,3,0,4,5,0,0,0,0,0,0,35,13,6,0,0,6,0,8,0,0,0,0,0,0,2,0,6,1,4,0,0,1,0,0,0,135048,128857,118552,5119,314,2851,33,1988,6191,5896,611,1769,674,40,2569,44,35,0,88,16,0,15,14,21,0,269,73,26,0,27,22,1,58,22,12,8,3,0,3,6,4,3,0,1,0,0,22,5,0,8,0,0,8,0,0,0,0,0,0,0,1,0,4,0,3,0,0,1,0,0,0,135048,4868,130180,125931,117424,5042,225,2845,28,367,4249,4066,591,1726,668,37,893,39,35,0,36,16,0,4,14,7,0,175,64,26,0,16,18,1,14,19,4,2,3,0,3,5,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,65793,63050,2743,3728,1970,519,33,1276,142,1758,1328,0,430
PLST,MD,050,00,00,000,0000008,0500000US24015,24015,3,5,24,01714934,015,H1,00596115,37980,1,428,48864,896912528,185281258,Cecil,Cecil County,A,103725,43941,+39.5623537,-075.9415852,06,24015,103725,96256,84806,7803,294,1247,23,2083,7469,7058,1531,2105,603,28,2453,99,47,16,142,4,0,5,9,7,9,358,125,23,11,41,42,0,35,27,23,2,6,2,2,4,4,2,1,5,1,2,41,5,3,13,0,2,1,8,7,2,0,0,0,0,0,0,10,3,1,1,5,0,0,2,2,103725,5450,98275,92879,83485,7500,231,1232,23,408,5396,5140,1415,2049,583,22,851,97,46,6,56,4,0,1,9,1,0,236,105,23,5,9,37,0,7,27,9,0,4,2,0,4,4,0,0,0,0,0,16,3,3,0,0,1,0,7,0,2,0,0,0,0,0,0,4,2,1,1,0,0,0,0,0,80465,75960,67421,5852,235,1037,20,1395,4505,4288,513,1551,307,24,1689,77,26,7,82,0,0,0,3,0,9,179,71,7,0,10,19,0,24,15,10,0,0,2,2,4,4,2,1,5,1,2,26,3,2,11,0,1,0,7,0,2,0,0,0,0,0,0,10,3,1,1,5,0,0,2,2,80465,3376,77089,73850,66652,5688,193,1022,20,275,3239,3101,473,1517,296,18,658,75,26,3,32,0,0,0,3,0,0,120,65,7,0,3,14,0,6,15,0,0,0,2,0,4,4,0,0,0,0,0,14,3,2,0,0,0,0,7,0,2,0,0,0,0,0,0,4,2,1,1,0,0,0,0,0,43941,39398,4543,1372,893,263,23,584,23,479,0,0,479
PLST,MD,050,00,00,000,0000009,0500000US24017,24017,3,5,24,01714934,017,H1,01676992,47900,1,548,47894,1185757838,479438830,Charles,Charles County,A,166617,62123,+38.4728532,-077.0154272,06,24017,166617,153276,58587,82035,1236,5706,168,5544,13341,11693,3127,1356,1148,73,3052,1254,554,60,903,35,0,33,56,32,10,1506,713,206,10,189,56,3,98,49,58,7,51,1,14,14,22,2,0,8,1,4,131,34,0,79,0,7,9,1,0,0,0,0,0,0,0,1,5,4,1,0,0,0,0,6,6,166617,11677,154940,145405,56832,80850,995,5624,147,957,9535,8362,2944,1248,1094,73,649,1185,536,59,455,35,0,17,55,8,4,1115,650,179,10,62,51,3,5,45,12,7,51,1,9,13,14,2,0,0,1,0,50,31,0,18,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6,6,126667,118669,48247,61035,1021,4494,125,3747,7998,7095,1406,1015,630,46,2142,843,254,32,613,25,0,25,43,18,3,825,441,78,6,83,30,0,64,34,25,2,28,0,13,6,11,2,0,2,0,0,74,21,0,51,0,1,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,126667,7407,119260,113624,47151,60402,849,4446,113,663,5636,4942,1343,960,601,46,479,806,252,31,335,25,0,14,42,5,3,655,409,77,6,33,30,0,4,31,10,2,28,0,8,6,9,2,0,0,0,0,37,21,0,15,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,62123,59107,3016,1464,816,244,19,553,0,648,101,151,396
PLST,MD,050,00,00,000,0000010,0500000US24019,24019,3,5,24,01714934,019,H1,00596495,15700,2,480,99999,1400573746,1145353068,Dorchester,Dorchester County,A,32531,16383,+38.4291957,-076.0474333,06,24019,32531,30722,20128,9140,132,355,9,958,1809,1662,599,333,83,4,490,49,7,2,55,8,0,8,2,11,11,110,42,1,5,15,12,0,5,0,8,0,1,2,0,2,8,0,0,0,5,4,27,11,0,16,0,0,0,0,0,0,0,0,0,0,0,0,9,5,1,1,2,0,0,1,1,32531,1777,30754,29490,19891,9017,91,355,6,130,1264,1178,572,319,83,2,109,49,7,2,17,6,0,3,2,3,4,73,42,0,5,3,9,0,2,0,3,0,0,2,0,2,5,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,25733,24633,16876,6752,115,275,9,606,1100,1022,239,271,50,3,360,37,0,0,41,0,0,7,2,1,11,57,16,1,0,4,10,0,3,0,6,0,1,2,0,2,3,0,0,0,5,4,14,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1,1,0,0,0,0,0,25733,1109,24624,23879,16740,6698,87,275,6,73,745,700,235,262,50,1,97,37,0,0,9,0,0,3,2,0,4,34,16,0,0,0,8,0,0,0,3,0,0,2,0,2,3,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,16383,13721,2662,368,298,94,17,187,0,70,0,0,70
PLST,MD,050,00,00,000,0000011,0500000US24021,24021,3,5,24,01714934,021,H1,01711211,47900,1,548,23224,1710921853,17674490,Frederick,Frederick County,A,271717,103493,+39.4701773,-077.3976358,06,24021,271717,246631,189470,27802,1165,13570,189,14435,25086,23523,4048,3194,2938,130,11392,316,299,22,654,39,4,264,60,146,17,1357,400,141,13,235,77,5,273,54,101,6,8,1,15,4,20,0,2,2,0,0,187,30,6,127,3,2,1,4,8,2,0,0,3,1,0,0,13,11,2,0,0,0,0,6,6,271717,32119,239598,226070,183636,27007,401,13427,154,1445,13528,12751,3783,2909,2809,120,2158,262,285,22,229,29,4,6,55,76,4,713,346,117,13,60,74,5,11,54,8,0,2,1,2,4,12,0,2,2,0,0,53,25,6,9,3,0,1,4,0,1,0,0,3,1,0,0,11,11,0,0,0,0,0,0,0,207660,192568,151654,20093,874,10127,134,9686,15092,14286,1647,2291,1355,71,7762,227,130,16,442,27,0,179,51,79,9,684,202,47,5,105,39,5,176,30,32,0,6,1,15,4,14,0,1,2,0,0,113,19,6,76,2,0,1,0,4,1,0,0,3,1,0,0,4,4,0,0,0,0,0,5,5,207660,20823,186837,179207,148160,19675,328,10052,114,878,7630,7237,1563,2136,1301,71,1532,192,128,16,169,20,0,6,50,49,4,357,180,38,5,35,36,5,7,30,3,0,0,1,2,4,8,0,1,2,0,0,32,14,6,4,2,0,1,0,0,1,0,0,3,1,0,0,4,4,0,0,0,0,0,0,0,103493,98358,5135,5194,1552,285,43,1201,23,3642,2482,190,970
